code_qua,nom,NOM_CO,area_sq_km,lidar_point_count,points_per_sq_km,mean_height_m,median_height_m,p10_height_m,p90_height_m,min_height_m,max_height_m,std_height_m
1320103,Noailles,Marseille 1er Arrondissement,0.1494330563775979,68,455.05326363781813,12.934411764705882,13.51,5.537,16.866,4.81,21.85,4.052568517510007
1320605,Préfecture,Marseille 6e Arrondissement,0.2099870380988437,203,966.7263362438838,11.950541871921182,12.55,4.92,18.240000000000002,2.03,24.95,5.101205856468622
1320102,Le Chapitre,Marseille 1er Arrondissement,0.23807746398437515,341,1432.3069235246037,12.47533724340176,12.28,6.85,17.41,1.58,37.13,4.856893550353126
1320106,Thiers,Marseille 1er Arrondissement,0.19541954416864887,259,1325.3536185535293,11.482200772200772,10.92,5.24,18.254,1.64,38.13,5.02729119563765
1320806,La Pointe Rouge,Marseille 8e Arrondissement,2.056988575886594,8589,4175.521488396214,10.166377925253231,9.95,3.64,17.26,1.52,32.43,4.947775565657774
1320604,Palais de Justice,Marseille 6e Arrondissement,0.32450714963530586,534,1645.5723721345757,9.725243445692884,9.35,4.0520000000000005,16.232,1.59,21.19,4.4409243241067395
1320502,Le Camas,Marseille 5e Arrondissement,0.6185635440688224,1174,1897.945669862139,9.790843270868825,9.165,4.355,17.13,1.74,25.33,4.558755089592975
1320602,Lodi,Marseille 6e Arrondissement,0.34021770278838487,659,1936.9950317073815,9.395538694992412,9.12,3.35,15.772,1.52,55.74,5.035281189988719
1320808,Saint-Giniez,Marseille 8e Arrondissement,1.5377713204836942,3892,2530.9354831613073,9.41898766700925,9.015,3.761,15.17,1.53,53.76,4.6247518902771905
1320804,Périer,Marseille 8e Arrondissement,1.2225495350611824,4320,3533.5991516972,9.345298611111112,8.985,3.7190000000000003,15.461,1.55,31.0,4.452078910501027
1320404,Cinq Avenues,Marseille 4e Arrondissement,0.6735813365360706,1493,2216.510344063028,9.267032819825854,8.96,4.272,14.808,1.54,29.44,4.116220460766152
1320803,Montredon,Marseille 8e Arrondissement,3.384138603168318,16072,4749.214463306254,8.688172598307615,8.59,3.23,14.08,1.5,39.52,4.217828065222663
1320902,Le Cabot,Marseille 9e Arrondissement,1.9811747531201258,7048,3557.485269232408,9.05275113507378,8.52,2.99,15.493000000000002,1.5,48.81,4.914674209432156
1320202,Les Grands-Carmes,Marseille 2e Arrondissement,0.2892244970563944,249,860.9229250434094,9.443654618473895,8.51,4.74,15.946000000000007,1.56,22.41,4.392298232967267
1320601,Castellane,Marseille 6e Arrondissement,0.3381450455347076,487,1440.2103666191783,8.988603696098563,8.49,5.12,13.842000000000004,2.29,23.7,3.39266142493856
1321105,La Millière,Marseille 11e Arrondissement,2.6337027371584174,14001,5316.089702327647,8.361574887508036,8.37,2.46,14.32,1.5,30.82,4.463040688122608
1320101,Belsunce,Marseille 1er Arrondissement,0.37624057177872416,338,898.3613819266299,9.99914201183432,8.335,4.311,18.380000000000003,1.56,34.98,5.474666351955406
1321101,Les Accates,Marseille 11e Arrondissement,1.8077190292257062,8156,4511.763093788657,8.91583496812163,8.305,2.94,16.0,1.5,33.12,5.005299879219603
1320603,Notre-Dame-du-Mont,Marseille 6e Arrondissement,0.2657779700101067,387,1456.102625756693,9.15922480620155,8.3,4.566,14.694000000000011,2.32,26.4,4.030635650843348
1321108,Saint-Menet,Marseille 11e Arrondissement,3.5713187533622266,11880,3326.502286813672,9.495728114478114,8.14,2.9,18.292000000000005,1.5,35.55,5.93578530547367
1320105,Saint-Charles,Marseille 1er Arrondissement,0.6251028873611905,747,1195.0032788256442,8.91615796519411,8.09,3.326,15.703999999999999,1.55,23.32,4.781620541668293
1321006,La Timone,Marseille 10e Arrondissement,1.3012769954450192,3949,3034.7112980733937,8.279280830590023,8.05,2.98,13.67,1.5,21.59,4.089379452356975
1321104,Éoures,Marseille 11e Arrondissement,1.3684365094526931,6054,4424.026952058814,9.799160885365048,8.03,2.94,19.073999999999995,1.51,27.92,6.203590881185655
1320401,La Blancarde,Marseille 4e Arrondissement,0.9395501725209308,2454,2611.888190511009,8.55673186634067,8.0,3.583,14.24,1.5,33.48,4.168324745272343
1320304,La Villette,Marseille 3e Arrondissement,0.3791603277670157,716,1888.3832182990507,8.850656424581006,7.995,3.285,15.425,1.54,53.94,5.104665600916032
1320503,La Conception,Marseille 5e Arrondissement,0.44213258544822875,626,1415.8648799101036,8.407108626198085,7.92,3.54,14.045,1.6,20.69,4.044170731631082
